"item","paragraph","mirativity","valence","noteworthiness","combination","label"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>Contrary to his expectations, the view is nicer than most similar views, and he finds it very pleasant.<br>He says, <q>What a view!</q>","positive","positive","positive","positive_positive_positive","A"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>Contrary to his expectations, the view is average compared to similar views, but he still finds it very pleasant.<br>He says, <q>What a view!</q>","positive","positive","negative","positive_positive_negative","B"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>Contrary to his expectations, the view is nicer than most similar views, but he still feels neutral about it.<br>He says, <q>What a view!</q>","positive","negative","positive","positive_negative_positive","C"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>Contrary to his expectations, the view is average compared to similar views, and he feels neutral about it.<br>He says, <q>What a view!</q>","positive","negative","negative","positive_negative_negative","D"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>In line with his expectations, the view is nicer than most similar views, and he finds it very pleasant.<br>He says, <q>What a view!</q>","negative","positive","positive","negative_positive_positive","E"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>In line with his expectations, the view is average compared to similar views, but he still finds it very pleasant.<br>He says, <q>What a view!</q>","negative","positive","negative","negative_positive_negative","F"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>In line with his expectations, the view is nicer than most similar views, but he still feels neutral about it.<br>He says, <q>What a view!</q>","negative","negative","positive","negative_negative_positive","G"
"item1","Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>In line with his expectations, the view is average compared to similar views, and he feels neutral about it.<br>He says, <q>What a view!</q>","negative","negative","negative","negative_negative_negative","H"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>To her surprise, the soup is more hearty than most similar soups, and she is very happy about it.<br>She says, <q>What a broth!</q>","positive","positive","positive","positive_positive_positive","A"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>To her surprise, the soup is typical compared to similar soups, but she is still very happy about it.<br>She says, <q>What a broth!</q>","positive","positive","negative","positive_positive_negative","B"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>To her surprise, the soup is more hearty than most similar soups, but she feels indifferent about it.<br>She says, <q>What a broth!</q>","positive","negative","positive","positive_negative_positive","C"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>To her surprise, the soup is typical compared to similar soups, and she feels indifferent about it.<br>She says, <q>What a broth!</q>","positive","negative","negative","positive_negative_negative","D"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>Unsurprisingly for her, the soup is more hearty than most similar soups, and she is very happy about it.<br>She says, <q>What a broth!</q>","negative","positive","positive","negative_positive_positive","E"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>Unsurprisingly for her, the soup is typical compared to similar soups, but she is still very happy about it.<br>She says, <q>What a broth!</q>","negative","positive","negative","negative_positive_negative","F"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>Unsurprisingly for her, the soup is more hearty than most similar soups, but she feels indifferent about it.<br>She says, <q>What a broth!</q>","negative","negative","positive","negative_negative_positive","G"
"item10","Jennifer prepares a soup.<br>She tastes the soup.<br>Unsurprisingly for her, the soup is typical compared to similar soups, and she feels indifferent about it.<br>She says, <q>What a broth!</q>","negative","negative","negative","negative_negative_negative","H"
"item11","Luisa goes to the market.<br>She explores the market.<br>Contrary to her expectations, the market is more lively than most similar markets, and she finds it very pleasant.<br>She says, <q>What a market!</q>","positive","positive","positive","positive_positive_positive","A"
"item11","Luisa goes to the market.<br>She explores the market.<br>Contrary to her expectations, the market is typical compared to similar markets, but she still finds it very pleasant.<br>She says, <q>What a market!</q>","positive","positive","negative","positive_positive_negative","B"
"item11","Luisa goes to the market.<br>She explores the market.<br>Contrary to her expectations, the market is more lively than most similar markets, but she feels indifferent about it.<br>She says, <q>What a market!</q>","positive","negative","positive","positive_negative_positive","C"
"item11","Luisa goes to the market.<br>She explores the market.<br>Contrary to her expectations, the market is typical compared to similar markets, and she feels indifferent about it.<br>She says, <q>What a market!</q>","positive","negative","negative","positive_negative_negative","D"
"item11","Luisa goes to the market.<br>She explores the market.<br>Just as she had expected, the market is more lively than most similar markets, and she finds it very pleasant.<br>She says, <q>What a market!</q>","negative","positive","positive","negative_positive_positive","E"
"item11","Luisa goes to the market.<br>She explores the market.<br>Just as she had expected, the market is typical compared to similar markets, but she still finds it very pleasant.<br>She says, <q>What a market!</q>","negative","positive","negative","negative_positive_negative","F"
"item11","Luisa goes to the market.<br>She explores the market.<br>Just as she had expected, the market is more lively than most similar markets, but she feels indifferent about it.<br>She says, <q>What a market!</q>","negative","negative","positive","negative_negative_positive","G"
"item11","Luisa goes to the market.<br>She explores the market.<br>Just as she had expected, the market is typical compared to similar markets, and she feels indifferent about it.<br>She says, <q>What a market!</q>","negative","negative","negative","negative_negative_negative","H"
"item12","Claire listens to a song.<br>She thinks about the song.<br>Contrary to her expectations, the song is more beautiful than most similar songs, and she finds it very pleasant.<br>She says, <q>What a song!</q>","positive","positive","positive","positive_positive_positive","A"
"item12","Claire listens to a song.<br>She thinks about the song.<br>Contrary to her expectations, the song is typical compared to similar songs, but she still finds it very pleasant.<br>She says, <q>What a song!</q>","positive","positive","negative","positive_positive_negative","B"
"item12","Claire listens to a song.<br>She thinks about the song.<br>Contrary to her expectations, the song is more beautiful than most similar songs, but she feels indifferent about it.<br>She says, <q>What a song!</q>","positive","negative","positive","positive_negative_positive","C"
"item12","Claire listens to a song.<br>She thinks about the song.<br>Contrary to her expectations, the song is typical compared to similar songs, and she feels indifferent about it.<br>She says, <q>What a song!</q>","positive","negative","negative","positive_negative_negative","D"
"item12","Claire listens to a song.<br>She thinks about the song.<br>Just as she had expected, the song is more beautiful than most similar songs, and she finds it very pleasant.<br>She says, <q>What a song!</q>","negative","positive","positive","negative_positive_positive","E"
"item12","Claire listens to a song.<br>She thinks about the song.<br>Just as she had expected, the song is typical compared to similar songs, but she still finds it very pleasant.<br>She says, <q>What a song!</q>","negative","positive","negative","negative_positive_negative","F"
"item12","Claire listens to a song.<br>She thinks about the song.<br>Just as she had expected, the song is more beautiful than most similar songs, but she feels indifferent about it.<br>She says, <q>What a song!</q>","negative","negative","positive","negative_negative_positive","G"
"item12","Claire listens to a song.<br>She thinks about the song.<br>Just as she had expected, the song is typical compared to similar songs, and she feels indifferent about it.<br>She says, <q>What a song!</q>","negative","negative","negative","negative_negative_negative","H"
"item13","Alice buys a facial cream.<br>She applies the cream.<br>Other than she had anticipated, the cream is more soothing than most similar creams, and she feels very positive about it.<br>She says, <q>What a cream!</q>","positive","positive","positive","positive_positive_positive","A"
"item13","Alice buys a facial cream.<br>She applies the cream.<br>Other than she had anticipated, the cream is average compared to similar creams, but she still feels very positive about it.<br>She says, <q>What a cream!</q>","positive","positive","negative","positive_positive_negative","B"
"item13","Alice buys a facial cream.<br>She applies the cream.<br>Other than she had anticipated, the cream is more soothing than most similar creams, but she has no strong feelings about it.<br>She says, <q>What a cream!</q>","positive","negative","positive","positive_negative_positive","C"
"item13","Alice buys a facial cream.<br>She applies the cream.<br>Other than she had anticipated, the cream is average compared to similar creams, and she has no strong feelings about it.<br>She says, <q>What a cream!</q>","positive","negative","negative","positive_negative_negative","D"
"item13","Alice buys a facial cream.<br>She applies the cream.<br>Just as she had expected, the cream is more soothing than most similar creams, and she feels very positive about it.<br>She says, <q>What a cream!</q>","negative","positive","positive","negative_positive_positive","E"
"item13","Alice buys a facial cream.<br>She applies the cream.<br>Just as she had expected, the cream is average compared to similar creams, but she still feels very positive about it.<br>She says, <q>What a cream!</q>","negative","positive","negative","negative_positive_negative","F"
"item13","Alice buys a facial cream.<br>She applies the cream.<br>Just as she had expected, the cream is more soothing than most similar creams, but she has no strong feelings about it.<br>She says, <q>What a cream!</q>","negative","negative","positive","negative_negative_positive","G"
"item13","Alice buys a facial cream.<br>She applies the cream.<br>Just as she had expected, the cream is average compared to similar creams, and she has no strong feelings about it.<br>She says, <q>What a cream!</q>","negative","negative","negative","negative_negative_negative","H"
"item14","Nadia bakes cookies.<br>She tastes the cookies.<br>Other than she had anticipated, the cookies are more delicious than most similar cookies, and she is very happy about them.<br>She says, <q>What a cookie!</q>","positive","positive","positive","positive_positive_positive","A"
"item14","Nadia bakes cookies.<br>She tastes the cookies.<br>Other than she had anticipated, the cookies are normal compared to similar cookies, but she is still very happy about them.<br>She says, <q>What a cookie!</q>","positive","positive","negative","positive_positive_negative","B"
"item14","Nadia bakes cookies.<br>She tastes the cookies.<br>Other than she had anticipated, the cookies are more delicious than most similar cookies, but she has no strong feelings about them.<br>She says, <q>What a cookie!</q>","positive","negative","positive","positive_negative_positive","C"
"item14","Nadia bakes cookies.<br>She tastes the cookies.<br>Other than she had anticipated, the cookies are normal compared to similar cookies, and she has no strong feelings about them.<br>She says, <q>What a cookie!</q>","positive","negative","negative","positive_negative_negative","D"
"item14","Nadia bakes cookies.<br>She tastes the cookies.<br>As she had anticipated, the cookies are more delicious than most similar cookies, and she is very happy about them.<br>She says, <q>What a cookie!</q>","negative","positive","positive","negative_positive_positive","E"
"item14","Nadia bakes cookies.<br>She tastes the cookies.<br>As she had anticipated, the cookies are normal compared to similar cookies, but she is still very happy about them.<br>She says, <q>What a cookie!</q>","negative","positive","negative","negative_positive_negative","F"
"item14","Nadia bakes cookies.<br>She tastes the cookies.<br>As she had anticipated, the cookies are more delicious than most similar cookies, but she has no strong feelings about them.<br>She says, <q>What a cookie!</q>","negative","negative","positive","negative_negative_positive","G"
"item14","Nadia bakes cookies.<br>She tastes the cookies.<br>As she had anticipated, the cookies are normal compared to similar cookies, and she has no strong feelings about them.<br>She says, <q>What a cookie!</q>","negative","negative","negative","negative_negative_negative","H"
"item15","Mailey plays a board game.<br>She makes a move.<br>To her surprise, the game is more entertaining than most similar games, and she feels very positive about it.<br>She says, <q>What a game!</q>","positive","positive","positive","positive_positive_positive","A"
"item15","Mailey plays a board game.<br>She makes a move.<br>To her surprise, the game is normal compared to similar games, but she still feels very positive about it.<br>She says, <q>What a game!</q>","positive","positive","negative","positive_positive_negative","B"
"item15","Mailey plays a board game.<br>She makes a move.<br>To her surprise, the game is more entertaining than most similar games, but she is neutral about it.<br>She says, <q>What a game!</q>","positive","negative","positive","positive_negative_positive","C"
"item15","Mailey plays a board game.<br>She makes a move.<br>To her surprise, the game is normal compared to similar games, and she is neutral about it.<br>She says, <q>What a game!</q>","positive","negative","negative","positive_negative_negative","D"
"item15","Mailey plays a board game.<br>She makes a move.<br>As she had anticipated, the game is more entertaining than most similar games, and she feels very positive about it.<br>She says, <q>What a game!</q>","negative","positive","positive","negative_positive_positive","E"
"item15","Mailey plays a board game.<br>She makes a move.<br>As she had anticipated, the game is normal compared to similar games, but she still feels very positive about it.<br>She says, <q>What a game!</q>","negative","positive","negative","negative_positive_negative","F"
"item15","Mailey plays a board game.<br>She makes a move.<br>As she had anticipated, the game is more entertaining than most similar games, but she is neutral about it.<br>She says, <q>What a game!</q>","negative","negative","positive","negative_negative_positive","G"
"item15","Mailey plays a board game.<br>She makes a move.<br>As she had anticipated, the game is normal compared to similar games, and she is neutral about it.<br>She says, <q>What a game!</q>","negative","negative","negative","negative_negative_negative","H"
"item16","Zoe wears a dress.<br>She looks at herself in the mirror.<br>To her surprise, the dress is more elegant than most similar dresses, and she feels very positive about it.<br>She says, <q>What a dress!</q>","positive","positive","positive","positive_positive_positive","A"
"item16","Zoe wears a dress.<br>She looks at herself in the mirror.<br>To her surprise, the dress is normal compared to similar dresses, but she still feels very positive about it.<br>She says, <q>What a dress!</q>","positive","positive","negative","positive_positive_negative","B"
"item16","Zoe wears a dress.<br>She looks at herself in the mirror.<br>To her surprise, the dress is more elegant than most similar dresses, but she is neutral about it.<br>She says, <q>What a dress!</q>","positive","negative","positive","positive_negative_positive","C"
"item16","Zoe wears a dress.<br>She looks at herself in the mirror.<br>To her surprise, the dress is normal compared to similar dresses, and she is neutral about it.<br>She says, <q>What a dress!</q>","positive","negative","negative","positive_negative_negative","D"
"item16","Zoe wears a dress.<br>She looks at herself in the mirror.<br>As she had anticipated, the dress is more elegant than most similar dresses, and she feels very positive about it.<br>She says, <q>What a dress!</q>","negative","positive","positive","negative_positive_positive","E"
"item16","Zoe wears a dress.<br>She looks at herself in the mirror.<br>As she had anticipated, the dress is normal compared to similar dresses, but she still feels very positive about it.<br>She says, <q>What a dress!</q>","negative","positive","negative","negative_positive_negative","F"
"item16","Zoe wears a dress.<br>She looks at herself in the mirror.<br>As she had anticipated, the dress is more elegant than most similar dresses, but she is neutral about it.<br>She says, <q>What a dress!</q>","negative","negative","positive","negative_negative_positive","G"
"item16","Zoe wears a dress.<br>She looks at herself in the mirror.<br>As she had anticipated, the dress is normal compared to similar dresses, and she is neutral about it.<br>She says, <q>What a dress!</q>","negative","negative","negative","negative_negative_negative","H"
"item2","Tom knits a pair of socks.<br>He touches the socks.<br>Contrary to his expectations, the socks are warmer than most similar socks, and he finds them very pleasant.<br>He says, <q>What a fabric!</q>","positive","positive","positive","positive_positive_positive","A"
"item2","Tom knits a pair of socks.<br>He touches the socks.<br>Contrary to his expectations, the socks are average compared to similar socks, but he still finds them very pleasant.<br>He says, <q>What a fabric!</q>","positive","positive","negative","positive_positive_negative","B"
"item2","Tom knits a pair of socks.<br>He touches the socks.<br>Contrary to his expectations, the socks are warmer than most similar socks, but he still feels neutral about them.<br>He says, <q>What a fabric!</q>","positive","negative","positive","positive_negative_positive","C"
"item2","Tom knits a pair of socks.<br>He touches the socks.<br>Contrary to his expectations, the socks are average compared to similar socks, and he feels neutral about them.<br>He says, <q>What a fabric!</q>","positive","negative","negative","positive_negative_negative","D"
"item2","Tom knits a pair of socks.<br>He touches the socks.<br>In line with his expectations, the socks are warmer than most similar socks, and he finds them very pleasant.<br>He says, <q>What a fabric!</q>","negative","positive","positive","negative_positive_positive","E"
"item2","Tom knits a pair of socks.<br>He touches the socks.<br>In line with his expectations, the socks are average compared to similar socks, but he still finds them very pleasant.<br>He says, <q>What a fabric!</q>","negative","positive","negative","negative_positive_negative","F"
"item2","Tom knits a pair of socks.<br>He touches the socks.<br>In line with his expectations, the socks are warmer than most similar socks, but he still feels neutral about them.<br>He says, <q>What a fabric!</q>","negative","negative","positive","negative_negative_positive","G"
"item2","Tom knits a pair of socks.<br>He touches the socks.<br>In line with his expectations, the socks are average compared to similar socks, and he feels neutral about them.<br>He says, <q>What a fabric!</q>","negative","negative","negative","negative_negative_negative","H"
"item3","Sam photographs a scene.<br>He examines the photograph.<br>To his surprise, the photograph is more striking than most similar photographs, and he finds it very pleasant.<br>He says, <q>What a shot!</q>","positive","positive","positive","positive_positive_positive","A"
"item3","Sam photographs a scene.<br>He examines the photograph.<br>To his surprise, the photograph is average compared to similar photographs, but he still finds it very pleasant.<br>He says, <q>What a shot!</q>","positive","positive","negative","positive_positive_negative","B"
"item3","Sam photographs a scene.<br>He examines the photograph.<br>To his surprise, the photograph is more striking than most similar photographs, but he still feels indifferent about it.<br>He says, <q>What a shot!</q>","positive","negative","positive","positive_negative_positive","C"
"item3","Sam photographs a scene.<br>He examines the photograph.<br>To his surprise, the photograph is average compared to similar photographs, and he feels indifferent about it.<br>He says, <q>What a shot!</q>","positive","negative","negative","positive_negative_negative","D"
"item3","Sam photographs a scene.<br>He examines the photograph.<br>In line with his expectations, the photograph is more striking than most similar photographs, and he finds it very pleasant.<br>He says, <q>What a shot!</q>","negative","positive","positive","negative_positive_positive","E"
"item3","Sam photographs a scene.<br>He examines the photograph.<br>In line with his expectations, the photograph is average compared to similar photographs, but he still finds it very pleasant.<br>He says, <q>What a shot!</q>","negative","positive","negative","negative_positive_negative","F"
"item3","Sam photographs a scene.<br>He examines the photograph.<br>In line with his expectations, the photograph is more striking than most similar photographs, but he still feels indifferent about it.<br>He says, <q>What a shot!</q>","negative","negative","positive","negative_negative_positive","G"
"item3","Sam photographs a scene.<br>He examines the photograph.<br>In line with his expectations, the photograph is average compared to similar photographs, and he feels indifferent about it.<br>He says, <q>What a shot!</q>","negative","negative","negative","negative_negative_negative","H"
"item4","Jack cooks a meal.<br>He tastes the meal.<br>To his surprise, the meal is more flavorful than most similar meals, and he finds it very pleasant.<br>He says, <q>What a dish!</q>","positive","positive","positive","positive_positive_positive","A"
"item4","Jack cooks a meal.<br>He tastes the meal.<br>To his surprise, the meal is average compared to similar meals, but he still finds it very pleasant.<br>He says, <q>What a dish!</q>","positive","positive","negative","positive_positive_negative","B"
"item4","Jack cooks a meal.<br>He tastes the meal.<br>To his surprise, the meal is more flavorful than most similar meals, but he still feels indifferent about it.<br>He says, <q>What a dish!</q>","positive","negative","positive","positive_negative_positive","C"
"item4","Jack cooks a meal.<br>He tastes the meal.<br>To his surprise, the meal is average compared to similar meals, and he feels indifferent about it.<br>He says, <q>What a dish!</q>","positive","negative","negative","positive_negative_negative","D"
"item4","Jack cooks a meal.<br>He tastes the meal.<br>Just as he had expected, the meal is more flavorful than most similar meals, and he finds it very pleasant.<br>He says, <q>What a dish!</q>","negative","positive","positive","negative_positive_positive","E"
"item4","Jack cooks a meal.<br>He tastes the meal.<br>Just as he had expected, the meal is average compared to similar meals, but he still finds it very pleasant.<br>He says, <q>What a dish!</q>","negative","positive","negative","negative_positive_negative","F"
"item4","Jack cooks a meal.<br>He tastes the meal.<br>Just as he had expected, the meal is more flavorful than most similar meals, but he still feels indifferent about it.<br>He says, <q>What a dish!</q>","negative","negative","positive","negative_negative_positive","G"
"item4","Jack cooks a meal.<br>He tastes the meal.<br>Just as he had expected, the meal is average compared to similar meals, and he feels indifferent about it.<br>He says, <q>What a dish!</q>","negative","negative","negative","negative_negative_negative","H"
"item5","Wesley grows a flower.<br>He smells the flower.<br>To his surprise, the flower is more beautiful than most similar flowers, and he is very happy about it.<br>He says, <q>What a bloom!</q>","positive","positive","positive","positive_positive_positive","A"
"item5","Wesley grows a flower.<br>He smells the flower.<br>To his surprise, the flower is typical compared to similar flowers, but he is still very happy about it.<br>He says, <q>What a bloom!</q>","positive","positive","negative","positive_positive_negative","B"
"item5","Wesley grows a flower.<br>He smells the flower.<br>To his surprise, the flower is more beautiful than most similar flowers, but he has no strong feelings about it.<br>He says, <q>What a bloom!</q>","positive","negative","positive","positive_negative_positive","C"
"item5","Wesley grows a flower.<br>He smells the flower.<br>To his surprise, the flower is typical compared to similar flowers, and he has no strong feelings about it.<br>He says, <q>What a bloom!</q>","positive","negative","negative","positive_negative_negative","D"
"item5","Wesley grows a flower.<br>He smells the flower.<br>Just as he had expected, the flower is more beautiful than most similar flowers, and he is very happy about it.<br>He says, <q>What a bloom!</q>","negative","positive","positive","negative_positive_positive","E"
"item5","Wesley grows a flower.<br>He smells the flower.<br>Just as he had expected, the flower is typical compared to similar flowers, but he is still very happy about it.<br>He says, <q>What a bloom!</q>","negative","positive","negative","negative_positive_negative","F"
"item5","Wesley grows a flower.<br>He smells the flower.<br>Just as he had expected, the flower is more beautiful than most similar flowers, but he has no strong feelings about it.<br>He says, <q>What a bloom!</q>","negative","negative","positive","negative_negative_positive","G"
"item5","Wesley grows a flower.<br>He smells the flower.<br>Just as he had expected, the flower is typical compared to similar flowers, and he has no strong feelings about it.<br>He says, <q>What a bloom!</q>","negative","negative","negative","negative_negative_negative","H"
"item6","Dean reads a book.<br>He thinks about the story.<br>Different from what he had exptected, the story is more captivating than most similar stories, and he feels very positive about it.<br>He says, <q>What a tale!</q>","positive","positive","positive","positive_positive_positive","A"
"item6","Dean reads a book.<br>He thinks about the story.<br>Different from what he had exptected, the story is typical compared to similar stories, but he still feels very positive about it.<br>He says, <q>What a tale!</q>","positive","positive","negative","positive_positive_negative","B"
"item6","Dean reads a book.<br>He thinks about the story.<br>Different from what he had exptected, the story is more captivating than most similar stories, but he has no strong feelings about it.<br>He says, <q>What a tale!</q>","positive","negative","positive","positive_negative_positive","C"
"item6","Dean reads a book.<br>He thinks about the story.<br>Different from what he had exptected, the story is typical compared to similar stories, and he has no strong feelings about it.<br>He says, <q>What a tale!</q>","positive","negative","negative","positive_negative_negative","D"
"item6","Dean reads a book.<br>He thinks about the story.<br>Just as he had expected, the story is more captivating than most similar stories, and he feels very positive about it.<br>He says, <q>What a tale!</q>","negative","positive","positive","negative_positive_positive","E"
"item6","Dean reads a book.<br>He thinks about the story.<br>Just as he had expected, the story is typical compared to similar stories, but he still feels very positive about it.<br>He says, <q>What a tale!</q>","negative","positive","negative","negative_positive_negative","F"
"item6","Dean reads a book.<br>He thinks about the story.<br>Just as he had expected, the story is more captivating than most similar stories, but he has no strong feelings about it.<br>He says, <q>What a tale!</q>","negative","negative","positive","negative_negative_positive","G"
"item6","Dean reads a book.<br>He thinks about the story.<br>Just as he had expected, the story is typical compared to similar stories, and he has no strong feelings about it.<br>He says, <q>What a tale!</q>","negative","negative","negative","negative_negative_negative","H"
"item7","James brews a tea.<br>He sips the tea.<br>Contrary to his expectations, the tea is more soothing than most similar teas, and he is very happy about it.<br>He says, <q>What an infusion!</q>","positive","positive","positive","positive_positive_positive","A"
"item7","James brews a tea.<br>He sips the tea.<br>Contrary to his expectations, the tea is ordinary compared to similar teas, but he is still very happy about it.<br>He says, <q>What an infusion!</q>","positive","positive","negative","positive_positive_negative","B"
"item7","James brews a tea.<br>He sips the tea.<br>Contrary to his expectations, the tea is more soothing than most similar teas, but he feels indifferent about it.<br>He says, <q>What an infusion!</q>","positive","negative","positive","positive_negative_positive","C"
"item7","James brews a tea.<br>He sips the tea.<br>Contrary to his expectations, the tea is ordinary compared to similar teas, and he feels indifferent about it.<br>He says, <q>What an infusion!</q>","positive","negative","negative","positive_negative_negative","D"
"item7","James brews a tea.<br>He sips the tea.<br>Unsurprisingly for him, the tea is more soothing than most similar teas, and he is very happy about it.<br>He says, <q>What an infusion!</q>","negative","positive","positive","negative_positive_positive","E"
"item7","James brews a tea.<br>He sips the tea.<br>Unsurprisingly for him, the tea is ordinary compared to similar teas, but he is still very happy about it.<br>He says, <q>What an infusion!</q>","negative","positive","negative","negative_positive_negative","F"
"item7","James brews a tea.<br>He sips the tea.<br>Unsurprisingly for him, the tea is more soothing than most similar teas, but he feels indifferent about it.<br>He says, <q>What an infusion!</q>","negative","negative","positive","negative_negative_positive","G"
"item7","James brews a tea.<br>He sips the tea.<br>Unsurprisingly for him, the tea is ordinary compared to similar teas, and he feels indifferent about it.<br>He says, <q>What an infusion!</q>","negative","negative","negative","negative_negative_negative","H"
"item8","Edward drinks a wine.<br>He takes a sip of the wine.<br>Contrary to his expectations, the wine is more exquisite than most similar wines, and he feels very positive about it.<br>He says, <q>What a flavor!</q>","positive","positive","positive","positive_positive_positive","A"
"item8","Edward drinks a wine.<br>He takes a sip of the wine.<br>Contrary to his expectations, the wine is ordinary compared to similar wines, but he still feels very positive about it.<br>He says, <q>What a flavor!</q>","positive","positive","negative","positive_positive_negative","B"
"item8","Edward drinks a wine.<br>He takes a sip of the wine.<br>Contrary to his expectations, the wine is more exquisite than most similar wines, but he feels indifferent about it.<br>He says, <q>What a flavor!</q>","positive","negative","positive","positive_negative_positive","C"
"item8","Edward drinks a wine.<br>He takes a sip of the wine.<br>Contrary to his expectations, the wine is ordinary compared to similar wines, and he feels indifferent about it.<br>He says, <q>What a flavor!</q>","positive","negative","negative","positive_negative_negative","D"
"item8","Edward drinks a wine.<br>He takes a sip of the wine.<br>Unsurprisingly for him, the wine is more exquisite than most similar wines, and he feels very positive about it.<br>He says, <q>What a flavor!</q>","negative","positive","positive","negative_positive_positive","E"
"item8","Edward drinks a wine.<br>He takes a sip of the wine.<br>Unsurprisingly for him, the wine is ordinary compared to similar wines, but he still feels very positive about it.<br>He says, <q>What a flavor!</q>","negative","positive","negative","negative_positive_negative","F"
"item8","Edward drinks a wine.<br>He takes a sip of the wine.<br>Unsurprisingly for him, the wine is more exquisite than most similar wines, but he feels indifferent about it.<br>He says, <q>What a flavor!</q>","negative","negative","positive","negative_negative_positive","G"
"item8","Edward drinks a wine.<br>He takes a sip of the wine.<br>Unsurprisingly for him, the wine is ordinary compared to similar wines, and he feels indifferent about it.<br>He says, <q>What a flavor!</q>","negative","negative","negative","negative_negative_negative","H"
"item9","Lara watches a film.<br>She thinks about the film.<br>Contrary to her expectations, the film is more interesting than most similar films, and she feels very positive about it.<br>She says, <q>What a movie!</q>","positive","positive","positive","positive_positive_positive","A"
"item9","Lara watches a film.<br>She thinks about the film.<br>Contrary to her expectations, the film is typical compared to similar films, but she still feels very positive about it.<br>She says, <q>What a movie!</q>","positive","positive","negative","positive_positive_negative","B"
"item9","Lara watches a film.<br>She thinks about the film.<br>Contrary to her expectations, the film is more interesting than most similar films, but she feels indifferent about it.<br>She says, <q>What a movie!</q>","positive","negative","positive","positive_negative_positive","C"
"item9","Lara watches a film.<br>She thinks about the film.<br>Contrary to her expectations, the film is typical compared to similar films, and she feels indifferent about it.<br>She says, <q>What a movie!</q>","positive","negative","negative","positive_negative_negative","D"
"item9","Lara watches a film.<br>She thinks about the film.<br>Unsurprisingly for her, the film is more interesting than most similar films, and she feels very positive about it.<br>She says, <q>What a movie!</q>","negative","positive","positive","negative_positive_positive","E"
"item9","Lara watches a film.<br>She thinks about the film.<br>Unsurprisingly for her, the film is typical compared to similar films, but she still feels very positive about it.<br>She says, <q>What a movie!</q>","negative","positive","negative","negative_positive_negative","F"
"item9","Lara watches a film.<br>She thinks about the film.<br>Unsurprisingly for her, the film is more interesting than most similar films, but she feels indifferent about it.<br>She says, <q>What a movie!</q>","negative","negative","positive","negative_negative_positive","G"
"item9","Lara watches a film.<br>She thinks about the film.<br>Unsurprisingly for her, the film is typical compared to similar films, and she feels indifferent about it.<br>She says, <q>What a movie!</q>","negative","negative","negative","negative_negative_negative","H"
